moment:  value
[]:  1.0
[1, 4]:  -0.6020075865592056
[1, 4, 7, 10]:  0.5305652635758876
[1, 4, 7, 10, 13, 16]:  -0.5307555342407275
[1, 4, 7, 10, 13, 16, 19, 22]:  0.6019460881796164
[1, 4, 7, 10, 13, 16, 20, 23]:  0.46499441688489584
[1, 4, 7, 10, 13, 16, 20, 29]:  0.1979229157139987
[1, 4, 7, 10, 13, 16, 26, 29]:  0.46499441688713855
[1, 4, 7, 10, 13, 17, 19, 23]:  -0.16632805205058143
[1, 4, 7, 10, 13, 17, 19, 29]:  -0.105730503814258
[1, 4, 7, 10, 13, 17, 20, 22]:  0.2973752222072149
[1, 4, 7, 10, 13, 17, 25, 29]:  -0.10573050381041299
[1, 4, 7, 10, 13, 19]:  0.21708887040034083
[1, 4, 7, 10, 13, 22, 26, 29]:  0.2973752222052886
[1, 4, 7, 10, 13, 23, 25, 29]:  -0.1663280520540545
[1, 4, 7, 10, 13, 25]:  0.21708887039517827
[1, 4, 7, 10, 14, 16, 19, 23]:  0.177663822407039
[1, 4, 7, 10, 14, 16, 19, 29]:  0.1466532103961434
[1, 4, 7, 10, 14, 16, 20, 22]:  -0.14298564419396223
[1, 4, 7, 10, 14, 16, 25, 29]:  0.07762397317736179
[1, 4, 7, 10, 14, 17]:  -0.44014137587618735
[1, 4, 7, 10, 14, 17, 19, 22]:  0.41098385025291845
[1, 4, 7, 10, 14, 17, 20, 23]:  0.439795166897954
[1, 4, 7, 10, 14, 17, 20, 29]:  0.23390591077998912
[1, 4, 7, 10, 14, 17, 21, 24]:  0.38654375055496476
[1, 4, 7, 10, 14, 17, 21, 30]:  0.16709573010786008
[1, 4, 7, 10, 14, 17, 26, 29]:  0.38922711057146414
[1, 4, 7, 10, 14, 17, 27, 30]:  0.38099953375806656
[1, 4, 7, 10, 14, 18, 20, 24]:  -0.11091808926337691
[1, 4, 7, 10, 14, 18, 20, 30]:  -0.06919657493626223
[1, 4, 7, 10, 14, 18, 21, 23]:  0.1641695332149986
[1, 4, 7, 10, 14, 18, 21, 29]:  0.136006731101974
[1, 4, 7, 10, 14, 18, 26, 30]:  -0.040054761393389204
[1, 4, 7, 10, 14, 18, 27, 29]:  0.04828260795876477
[1, 4, 7, 10, 14, 20]:  0.14274549354231608
[1, 4, 7, 10, 14, 22, 25, 29]:  0.14665321038923554
[1, 4, 7, 10, 14, 23, 26, 29]:  0.23390591079028192
[1, 4, 7, 10, 14, 23, 27, 30]:  0.16709573011032228
[1, 4, 7, 10, 14, 24, 26, 30]:  -0.06919657492507462
[1, 4, 7, 10, 14, 24, 27, 29]:  0.136006731095601
[1, 4, 7, 10, 14, 26]:  0.09010672712128667
[1, 4, 7, 10, 14, 29]:  -0.15263047921440095
[1, 4, 7, 10, 16, 19]:  -0.2501399188245368
[1, 4, 7, 10, 16, 19, 22, 25]:  0.1876233118316724
[1, 4, 7, 10, 16, 19, 23, 26]:  0.14357453078029048
[1, 4, 7, 10, 16, 20, 22, 26]:  -0.037560229343370985
[1, 4, 7, 10, 16, 20, 23, 25]:  0.07635789923446298
[1, 4, 7, 10, 16, 22]:  0.1591611092789173
[1, 4, 7, 10, 17, 19, 22, 26]:  0.04914782814654919
[1, 4, 7, 10, 17, 19, 23, 25]:  -0.037560229343704774
[1, 4, 7, 10, 17, 20]:  -0.23146209180963453
[1, 4, 7, 10, 17, 20, 22, 25]:  0.14357453078098656
[1, 4, 7, 10, 17, 20, 23, 26]:  0.14987810141015173
[1, 4, 7, 10, 17, 20, 24, 27]:  0.13265821418368837
[1, 4, 7, 10, 17, 21, 23, 27]:  -0.028968282023444262
[1, 4, 7, 10, 17, 21, 24, 26]:  0.04618816915805392
[1, 4, 7, 10, 17, 23]:  0.12451214180771196
[1, 4, 7, 10, 17, 29]:  0.09010672711906235
[1, 4, 7, 10, 19, 22]:  -0.42021832889447763
[1, 4, 7, 10, 19, 22, 26, 29]:  0.4109838502635862
[1, 4, 7, 10, 19, 23, 25, 29]:  -0.1429856441982785
[1, 4, 7, 10, 19, 25]:  0.1591611092758926
[1, 4, 7, 10, 20, 22, 25, 29]:  0.17766382240305817
[1, 4, 7, 10, 20, 23]:  -0.3948144412136043
[1, 4, 7, 10, 20, 23, 27, 30]:  0.3865437505585877
[1, 4, 7, 10, 20, 24, 26, 30]:  -0.11091808926201435
[1, 4, 7, 10, 20, 24, 27, 29]:  0.16416953321048253
[1, 4, 7, 10, 20, 26]:  0.12451214180606608
[1, 4, 7, 10, 22, 25]:  -0.2501399188238818
[1, 4, 7, 10, 23, 26]:  -0.23146209181048963
[1, 4, 7, 10, 23, 29]:  0.14274549354040342
[1, 4, 7, 10, 26, 29]:  -0.44014137587609387
[1, 4, 7, 11, 13, 16, 19, 23]:  -0.11322974770634886
[1, 4, 7, 11, 13, 16, 19, 29]:  -0.11322974770231826
[1, 4, 7, 11, 13, 16, 20, 22]:  0.10748069923911528
[1, 4, 7, 11, 13, 16, 25, 29]:  -0.09681210102424172
[1, 4, 7, 11, 13, 17]:  0.1429782992338531
[1, 4, 7, 11, 13, 17, 19, 22]:  -0.1544734190445331
[1, 4, 7, 11, 13, 17, 20, 23]:  -0.16501065690005406
[1, 4, 7, 11, 13, 17, 20, 29]:  -0.10773961924343968
[1, 4, 7, 11, 13, 17, 21, 24]:  -0.1280830437344849
[1, 4, 7, 11, 13, 17, 21, 30]:  -0.048337924858383625
[1, 4, 7, 11, 13, 17, 26, 29]:  -0.13444536952584044
[1, 4, 7, 11, 13, 17, 27, 30]:  -0.12525773881779778
[1, 4, 7, 11, 13, 18, 20, 24]:  0.041449850459687104
[1, 4, 7, 11, 13, 18, 20, 30]:  0.022086569015361154
[1, 4, 7, 11, 13, 18, 21, 23]:  -0.07837744605736001
[1, 4, 7, 11, 13, 18, 21, 29]:  -0.081488184454673
[1, 4, 7, 11, 13, 18, 26, 30]:  0.018745774492995405
[1, 4, 7, 11, 13, 18, 27, 29]:  -0.027933505815124642
[1, 4, 7, 11, 13, 20]:  -0.05211610649328442
[1, 4, 7, 11, 13, 22, 25, 29]:  -0.09681210102369514
[1, 4, 7, 11, 13, 23, 26, 29]:  -0.12532171044603682
[1, 4, 7, 11, 13, 23, 27, 30]:  -0.07975347466465318
[1, 4, 7, 11, 13, 24, 26, 30]:  0.03529941895481203
[1, 4, 7, 11, 13, 24, 27, 29]:  -0.08086767171063397
[1, 4, 7, 11, 13, 26]:  -0.0446475551818962
[1, 4, 7, 11, 13, 29]:  0.09006525314511611
[1, 4, 7, 11, 14, 16]:  -0.23189371283025215
[1, 4, 7, 11, 14, 16, 19, 22]:  0.3165066382445564
[1, 4, 7, 11, 14, 16, 20, 23]:  0.21267295123304236
[1, 4, 7, 11, 14, 16, 20, 29]:  0.09461163687658715
[1, 4, 7, 11, 14, 16, 21, 24]:  0.20382330081285635
[1, 4, 7, 11, 14, 16, 21, 30]:  0.07877062555972034
[1, 4, 7, 11, 14, 16, 26, 29]:  0.2096508917547849
[1, 4, 7, 11, 14, 16, 27, 30]:  0.20654225973433696
[1, 4, 7, 11, 14, 17, 19, 29]:  -0.09519974030763853
[1, 4, 7, 11, 14, 17, 25, 29]:  -0.12532171044929985
[1, 4, 7, 11, 14, 18, 19, 24]:  -0.09457833645331895
[1, 4, 7, 11, 14, 18, 19, 30]:  -0.05772893643991796
[1, 4, 7, 11, 14, 18, 21, 22]:  0.20679173748168164
[1, 4, 7, 11, 14, 18, 25, 30]:  -0.07975347466051763
[1, 4, 7, 11, 14, 19]:  0.1249000913565081
[1, 4, 7, 11, 14, 22, 26, 29]:  0.20965089174365908
[1, 4, 7, 11, 14, 22, 27, 30]:  0.2065422597275951
[1, 4, 7, 11, 14, 23, 25, 29]:  -0.1344453695274511
[1, 4, 7, 11, 14, 24, 25, 30]:  -0.12525773882092564
[1, 4, 7, 11, 14, 25]:  0.166551651921319
[1, 4, 7, 11, 15, 16, 20, 24]:  -0.013621216801548494
[1, 4, 7, 11, 15, 16, 20, 30]:  -0.011506316521583232
[1, 4, 7, 11, 15, 16, 21, 23]:  0.02247081296145454
[1, 4, 7, 11, 15, 16, 21, 29]:  0.027347248158318856
[1, 4, 7, 11, 15, 16, 26, 30]:  -0.010422406498707645
[1, 4, 7, 11, 15, 16, 27, 29]:  0.0135310653151011
[1, 4, 7, 11, 15, 17, 19, 24]:  0.026359008379484804
[1, 4, 7, 11, 15, 17, 19, 30]:  0.02139724032420435
[1, 4, 7, 11, 15, 17, 21, 22]:  -0.05215915481575038
[1, 4, 7, 11, 15, 17, 25, 30]:  0.03529941894076565
[1, 4, 7, 11, 15, 18, 19, 23]:  -0.05710234032772259
[1, 4, 7, 11, 15, 18, 19, 29]:  -0.05886803135929604
[1, 4, 7, 11, 15, 18, 20, 22]:  0.07927331041225903
[1, 4, 7, 11, 15, 18, 25, 29]:  -0.08086767170865163
[1, 4, 7, 11, 15, 22, 26, 30]:  -0.010422406504226881
[1, 4, 7, 11, 15, 22, 27, 29]:  0.013531065315035272
[1, 4, 7, 11, 15, 23, 25, 30]:  0.01874577449352781
[1, 4, 7, 11, 15, 24, 25, 29]:  -0.027933505813136934
[1, 4, 7, 11, 16, 19, 22, 26]:  -0.018238759457870818
[1, 4, 7, 11, 16, 19, 23, 25]:  0.02078353741568383
[1, 4, 7, 11, 16, 20]:  0.023224924012010286
[1, 4, 7, 11, 16, 20, 22, 25]:  -0.018228554297268378
[1, 4, 7, 11, 16, 20, 23, 26]:  -0.018904027476569222
